idx,total_jobs,global_job_idx,worker_id,num_workers,dataset_base,algorithm,rho,num_clients,seed,run_ordinal,target_runs,dataset,status,exit_code,start_utc,end_utc,run_log,complete_before,complete_after,latest_complete_acc_csv
1,31,99,0,2,Cifar10,pFedMe,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-16T05:50:20Z,2026-06-16T09:16:55Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g99_q1_Cifar10_pFedMe_rho0p4_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/pFedMe/GM_VGG8/splitgp_rho0.4/NC_50/date_20260616/time_055022/acc.csv
2,31,105,0,2,Cifar10,pFedMe,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-16T05:50:20Z,2026-06-16T09:17:17Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g105_q2_Cifar10_pFedMe_rho0p8_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/pFedMe/GM_VGG8/splitgp_rho0.8/NC_50/date_20260616/time_055035/acc.csv
3,31,111,0,2,Cifar10,FedProx,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-16T09:16:56Z,2026-06-16T10:14:44Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g111_q3_Cifar10_FedProx_rho0p2_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.2/NC_50/date_20260616/time_091658/acc.csv
4,31,113,0,2,Cifar10,FedProx,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-16T09:17:17Z,2026-06-16T10:15:14Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g113_q4_Cifar10_FedProx_rho0p4_nc50_seed2_run2.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.4/NC_50/date_20260616/time_091719/acc.csv
5,31,117,0,2,Cifar10,FedProx,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-16T10:14:44Z,2026-06-16T11:11:08Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g117_q5_Cifar10_FedProx_rho0p6_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.6/NC_50/date_20260616/time_101446/acc.csv
6,31,119,0,2,Cifar10,FedProx,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-16T10:15:14Z,2026-06-16T11:12:33Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g119_q6_Cifar10_FedProx_rho0p8_nc50_seed2_run2.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.8/NC_50/date_20260616/time_101516/acc.csv
7,31,123,0,2,FashionMNIST,cwFedAvg,0.0,50,3,3,3,FashionMNIST_splitgp_pat_rho0.0_nc50,ok,0,2026-06-16T11:11:08Z,2026-06-16T11:54:45Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g123_q7_FashionMNIST_cwFedAvg_rho0p0_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260616/time_111110/acc.csv
8,31,129,0,2,FashionMNIST,cwFedAvg,0.4,50,3,3,3,FashionMNIST_splitgp_pat_rho0.4_nc50,ok,0,2026-06-16T11:12:33Z,2026-06-16T11:56:42Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g129_q8_FashionMNIST_cwFedAvg_rho0p4_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260616/time_111235/acc.csv
9,31,135,0,2,FashionMNIST,cwFedAvg,0.8,50,3,3,3,FashionMNIST_splitgp_pat_rho0.8_nc50,ok,0,2026-06-16T11:54:45Z,2026-06-16T12:36:16Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g135_q9_FashionMNIST_cwFedAvg_rho0p8_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260616/time_115448/acc.csv
10,31,141,0,2,FashionMNIST,FedALA,0.2,50,3,3,3,FashionMNIST_splitgp_pat_rho0.2_nc50,ok,0,2026-06-16T11:56:42Z,2026-06-16T12:50:37Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g141_q10_FashionMNIST_FedALA_rho0p2_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260616/time_115645/acc.csv
11,31,147,0,2,FashionMNIST,FedALA,0.6,50,3,3,3,FashionMNIST_splitgp_pat_rho0.6_nc50,ok,0,2026-06-16T12:36:16Z,2026-06-16T13:22:22Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g147_q11_FashionMNIST_FedALA_rho0p6_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260616/time_123618/acc.csv
12,31,153,0,2,FashionMNIST,FedAS,0.0,50,3,3,3,FashionMNIST_splitgp_pat_rho0.0_nc50,ok,0,2026-06-16T12:50:37Z,2026-06-16T14:46:17Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g153_q12_FashionMNIST_FedAS_rho0p0_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260616/time_125039/acc.csv
13,31,159,0,2,FashionMNIST,FedAS,0.4,50,3,3,3,FashionMNIST_splitgp_pat_rho0.4_nc50,ok,0,2026-06-16T13:22:22Z,2026-06-16T15:15:04Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g159_q13_FashionMNIST_FedAS_rho0p4_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedAS/GM_VGG8/splitgp_rho0.4/NC_50/date_20260616/time_132225/acc.csv
15,31,171,0,2,FashionMNIST,FedAvg,0.2,50,3,3,3,FashionMNIST_splitgp_pat_rho0.2_nc50,ok,0,2026-06-16T15:15:04Z,2026-06-16T16:05:58Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g171_q15_FashionMNIST_FedAvg_rho0p2_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260616/time_151506/acc.csv
14,31,165,0,2,FashionMNIST,FedAS,0.8,50,3,3,3,FashionMNIST_splitgp_pat_rho0.8_nc50,ok,0,2026-06-16T14:46:17Z,2026-06-16T16:41:41Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g165_q14_FashionMNIST_FedAS_rho0p8_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedAS/GM_VGG8/splitgp_rho0.8/NC_50/date_20260616/time_144619/acc.csv
16,31,177,0,2,FashionMNIST,FedAvg,0.6,50,3,3,3,FashionMNIST_splitgp_pat_rho0.6_nc50,ok,0,2026-06-16T16:05:58Z,2026-06-16T16:59:50Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g177_q16_FashionMNIST_FedAvg_rho0p6_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260616/time_160600/acc.csv
17,31,183,0,2,FashionMNIST,FedBN,0.0,50,3,3,3,FashionMNIST_splitgp_pat_rho0.0_nc50,ok,0,2026-06-16T16:41:41Z,2026-06-16T17:21:53Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g183_q17_FashionMNIST_FedBN_rho0p0_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedBN/GM_VGG8/splitgp_rho0.0/NC_50/date_20260616/time_164144/acc.csv
18,31,189,0,2,FashionMNIST,FedBN,0.4,50,3,3,3,FashionMNIST_splitgp_pat_rho0.4_nc50,ok,0,2026-06-16T16:59:50Z,2026-06-16T17:43:36Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_0/run_logs/g189_q18_FashionMNIST_FedBN_rho0p4_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedBN/GM_VGG8/splitgp_rho0.4/NC_50/date_20260616/time_165952/acc.csv
