1	93	Cifar10	pFedMe	0.0	3	3	1	Cifar10_splitgp_pat_rho0.0_nc50
2	95	Cifar10	pFedMe	0.2	2	2	1	Cifar10_splitgp_pat_rho0.2_nc50
3	99	Cifar10	pFedMe	0.4	3	3	1	Cifar10_splitgp_pat_rho0.4_nc50
4	101	Cifar10	pFedMe	0.6	2	2	1	Cifar10_splitgp_pat_rho0.6_nc50
5	105	Cifar10	pFedMe	0.8	3	3	1	Cifar10_splitgp_pat_rho0.8_nc50
6	107	Cifar10	FedProx	0.0	2	2	1	Cifar10_splitgp_pat_rho0.0_nc50
7	111	Cifar10	FedProx	0.2	3	3	1	Cifar10_splitgp_pat_rho0.2_nc50
8	113	Cifar10	FedProx	0.4	2	2	1	Cifar10_splitgp_pat_rho0.4_nc50
9	117	Cifar10	FedProx	0.6	3	3	1	Cifar10_splitgp_pat_rho0.6_nc50
10	119	Cifar10	FedProx	0.8	2	2	1	Cifar10_splitgp_pat_rho0.8_nc50
11	123	FashionMNIST	cwFedAvg	0.0	3	3	2	FashionMNIST_splitgp_pat_rho0.0_nc50
12	129	FashionMNIST	cwFedAvg	0.4	3	3	2	FashionMNIST_splitgp_pat_rho0.4_nc50
13	135	FashionMNIST	cwFedAvg	0.8	3	3	2	FashionMNIST_splitgp_pat_rho0.8_nc50
14	141	FashionMNIST	FedALA	0.2	3	3	2	FashionMNIST_splitgp_pat_rho0.2_nc50
15	147	FashionMNIST	FedALA	0.6	3	3	2	FashionMNIST_splitgp_pat_rho0.6_nc50
16	153	FashionMNIST	FedAS	0.0	3	3	2	FashionMNIST_splitgp_pat_rho0.0_nc50
17	159	FashionMNIST	FedAS	0.4	3	3	2	FashionMNIST_splitgp_pat_rho0.4_nc50
18	165	FashionMNIST	FedAS	0.8	3	3	2	FashionMNIST_splitgp_pat_rho0.8_nc50
19	171	FashionMNIST	FedAvg	0.2	3	3	2	FashionMNIST_splitgp_pat_rho0.2_nc50
20	177	FashionMNIST	FedAvg	0.6	3	3	2	FashionMNIST_splitgp_pat_rho0.6_nc50
21	183	FashionMNIST	FedBN	0.0	3	3	2	FashionMNIST_splitgp_pat_rho0.0_nc50
22	189	FashionMNIST	FedBN	0.4	3	3	2	FashionMNIST_splitgp_pat_rho0.4_nc50
23	195	FashionMNIST	FedBN	0.8	3	3	2	FashionMNIST_splitgp_pat_rho0.8_nc50
24	201	FashionMNIST	FedCross	0.2	3	3	2	FashionMNIST_splitgp_pat_rho0.2_nc50
25	207	FashionMNIST	FedCross	0.6	3	3	2	FashionMNIST_splitgp_pat_rho0.6_nc50
26	213	FashionMNIST	pFedMe	0.0	3	3	1	FashionMNIST_splitgp_pat_rho0.0_nc50
27	215	FashionMNIST	pFedMe	0.2	2	2	1	FashionMNIST_splitgp_pat_rho0.2_nc50
28	219	FashionMNIST	pFedMe	0.4	3	3	1	FashionMNIST_splitgp_pat_rho0.4_nc50
29	221	FashionMNIST	pFedMe	0.6	2	2	1	FashionMNIST_splitgp_pat_rho0.6_nc50
30	225	FashionMNIST	pFedMe	0.8	3	3	1	FashionMNIST_splitgp_pat_rho0.8_nc50
31	227	FashionMNIST	FedProx	0.0	2	2	1	FashionMNIST_splitgp_pat_rho0.0_nc50
32	231	FashionMNIST	FedProx	0.2	3	3	1	FashionMNIST_splitgp_pat_rho0.2_nc50
33	233	FashionMNIST	FedProx	0.4	2	2	1	FashionMNIST_splitgp_pat_rho0.4_nc50
34	237	FashionMNIST	FedProx	0.6	3	3	1	FashionMNIST_splitgp_pat_rho0.6_nc50
35	239	FashionMNIST	FedProx	0.8	2	2	1	FashionMNIST_splitgp_pat_rho0.8_nc50
